channel,video_id,Title,Published_date,Views,like_x,comments,Comment_ID,Text,Name,like_y,Date,Time
Press_Play,veqLmJkL86Q,世界調酒冠軍教你拉酒嘴！一滴酒都沒灑出來？什麼是 Free Pour？feat. Aki Wang【#PP小學堂】,2022/7/1,514,5,0,,,,,,
Press_Play,TR2AdIocYD8,烘焙新手必學！1 分鐘學會做抹茶巴斯克乳酪蛋糕【#PP小學堂 #Shorts】,2022/7/1,165,5,0,,,,,,
Press_Play,fOHfq1YmdLw,如何用英文聊天不尷尬？美國人莎白的聊天技巧大公開 feat. @莎白Elizabeth【#PP小學堂】,2022/6/24,2777,31,9,UgxNtovatIagHWQ-Deh4AaABAg,莎白好美,乖小孩子,0,2022/6/26,19:58:15
Press_Play,fOHfq1YmdLw,如何用英文聊天不尷尬？美國人莎白的聊天技巧大公開 feat. @莎白Elizabeth【#PP小學堂】,2022/6/24,2777,31,9,Ugz0YS2seoVGk1pwIzd4AaABAg,\ 莎白 / \ 莎白 / \ 莎白 /,BUBU,1,2022/6/24,17:15:04
Press_Play,fOHfq1YmdLw,如何用英文聊天不尷尬？美國人莎白的聊天技巧大公開 feat. @莎白Elizabeth【#PP小學堂】,2022/6/24,2777,31,9,Ugx3asbk2wGgGxhNiO14AaABAg,主持人好像沒有名字介紹^^”,Anny 妮,0,2022/6/24,14:36:17
Press_Play,fOHfq1YmdLw,如何用英文聊天不尷尬？美國人莎白的聊天技巧大公開 feat. @莎白Elizabeth【#PP小學堂】,2022/6/24,2777,31,9,UgxAuf8jidgPkERtf_V4AaABAg,老師好活潑哦！ 講中文超道地😮 <br>一直被明達的頭髮吸引 翹一根,張宸禎,0,2022/6/24,13:31:28
Press_Play,MHno1xrsmUM,為什麼我們會不想上班？背後的真正原因是什麼？｜#啾音好書,2022/6/22,9595,94,8,Ugy-5EPPtz1nIfHuIfZ4AaABAg,看见瓦基真人 下次听书更有带入感了！ 下一本读什么忠实听众来报到！,BT Lim,0,2022/6/27,6:34:56
Press_Play,MHno1xrsmUM,為什麼我們會不想上班？背後的真正原因是什麼？｜#啾音好書,2022/6/22,9595,94,8,Ugx9ErWjQo2jjpCOMS14AaABAg,受益良多謝謝您🙏,LEVII,1,2022/6/24,7:38:55
Press_Play,MHno1xrsmUM,為什麼我們會不想上班？背後的真正原因是什麼？｜#啾音好書,2022/6/22,9595,94,8,UgxacfVyZyYoaMumMIh4AaABAg,瓦基說什麼建議都可以😂是吧？<br>我覺得麥克風太大，遮住了您的下巴，感覺好想把麥克風推走🤣🤣,jade wang,1,2022/6/24,5:14:28
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgzPJkLb3M-iH1j1Zgt4AaABAg,欸不是這個魔性笑聲是怎樣XD,於鑫,1,2022/6/20,2:43:53
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgxRRzt-wU0LaTQkkG14AaABAg,沒有一杯酒解決不了的，有，就喝兩杯,Phoebe Liu,1,2022/6/18,9:00:06
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgzI7pvt0cYzbnqgsJJ4AaABAg,好好笑XDDDDD <br>所以黑黑是正常的嗎,Han Hsu,0,2022/6/18,6:49:52
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgwebKvGntUcl2FN1cV4AaABAg,兩位都好可愛😂<br>前面好好笑<br>還以為做出來會是地獄甜點<br>殊不知看起來好好ㄘ,Wu Erin,0,2022/6/17,19:41:13
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgxUO-0f-Tr6R09ACJh4AaABAg,想看達達喝酒,黃仲毅,2,2022/6/17,15:48:49
Press_Play,gGvKNEuCRis,第一次做甜點就上手？！跟著抹茶甜點食譜一起做，還會出錯嗎【#PP小學堂】,2022/6/17,13736,16,12,UgwxIu4M06brCRBB6BB4AaABAg,原本以為失敗了，沒想到切片起來還可以，感覺最後的口感可以多說一點WW<br>許願感覺達達很會喝，我想看達達調酒 !!!!!!!,張宸禎,4,2022/6/17,15:18:28
Press_Play,h97gLrp2jnc,股市隱者｜全方位操盤筆記 @股市隱者,2022/6/10,11193,19,0,,,,,,
Press_Play,Z8e2hYWpUTM,吃肉粽學冷知識！這些國家也有端午節？端午節五毒是什麼？【#PP小學堂】,2022/6/3,2850,9,0,,,,,,
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgyVKjIL7q5hj7qF1FN4AaABAg,少年超好笑ＸＤ,郭秀雯,0,2022/6/14,15:48:29
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,Ugy7ohfegZ2uZsV3S3h4AaABAg,哦喜欢那个玻璃心美女🥰,Lilo Stich,0,2022/6/14,2:02:31
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgwSHT69togE96hmzt54AaABAg,👍,vivien265,0,2022/6/10,18:37:22
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgzvO1PB-f-yBGGcdYB4AaABAg,"<a href=""https://www.youtube.com/watch?v=c6yvJIcPB1c&amp;t=12m48s"">12:48</a>眼小臉圓平眉，怎麼像浮世繪裡面的女性",壓力,2,2022/6/4,6:38:21
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgyK76ot9M0UoZDQ6B54AaABAg,希望可以推出改變命運相關的，面手相好像都是說：既定的命運。<br><br>改變命運都說多做善事balabala但社會多的是好人命不好，想看算命又能改變命運，改善問題的方法。,Zih Mu,1,2022/6/2,23:33:10
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,Ugwc_Hj6OFObNRVdS0t4AaABAg,之前訪問路人，街頭看相超有趣，希望之後還能繼續做,M9757027,1,2022/6/2,16:17:38
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgwO1eUFQDn3HqRe-kp4AaABAg,嗯很棒的工作氣氛 這樣子才能創造出好的作品 期待第三季,papa12b,10,2022/6/2,6:33:18
Press_Play,c6yvJIcPB1c,再見簡少年，這是最後一集。【#簡少年 #不負責任面相學】,2022/5/28,49016,734,40,UgyFMucnW9cgwx3WwF94AaABAg,期待期待,陳怡安,0,2022/6/2,1:47:23
